Aligner,RAM
Bowtie2,3.58
Bowtie2,3.58
Bowtie2,3.58
Bowtie2,3.579
Bowtie2,3.58
Bowtie2,3.58
Bowtie2,3.58
Bowtie2,3.58
Bowtie2,3.58
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
Bowtie,3.194
BWA,5.564
BWA,5.649
BWA,5.515
BWA,5.564
BWA,7.127
BWA,5.516
BWA,5.516
BWA,5.516
BWA,5.627
ERNE,4.841
ERNE,5.712
ERNE,4.841
ERNE,5.712
ERNE,5.712
ERNE,5.712
ERNE,5.712
ERNE,5.156
ERNE,5.712
gsnap,28.06
gsnap,27.963
gsnap,31.837
gsnap,28.149
gsnap,28.807
gsnap,28.213
gsnap,28.336
gsnap,27.997
gsnap,27.899
hisat2,4.694
hisat2,4.694
hisat2,4.694
hisat2,4.695
hisat2,4.694
hisat2,4.694
hisat2,4.694
hisat2,4.694
hisat2,4.694
last,15.359
last,15.357
last,15.359
last,15.357
last,15.367
last,15.358
last,15.358
last,15.358
last,15.358
lordfast,5.689
lordfast,5.689
lordfast,5.689
lordfast,5.692
lordfast,5.691
lordfast,5.689
lordfast,5.691
lordfast,5.689
lordfast,5.689
minialign,17.072
minialign,16.973
minialign,16.855
minialign,17.034
minialign,17.057
minialign,16.965
minialign,16.991
minialign,17.117
minialign,17.193
minimap2,12.422
minimap2,12.36
minimap2,12.431
minimap2,12.551
minimap2,12.965
minimap2,12.308
minimap2,12.364
minimap2,12.403
minimap2,12.358
mummer,49.381
mummer,49.443
mummer,48.662
mummer,48.662
mummer,48.85
mummer,49.162
mummer,49.178
mummer,48.662
mummer,49.287
ngm,6.123
ngm,6.124
ngm,6.124
ngm,6.122
ngm,6.123
ngm,6.123
ngm,6.123
ngm,6.123
ngm,6.123
rmap,6.895
rmap,9.359
rmap,10.524
rmap,13.982
rmap,8.66
rmap,10.146
rmap,9.268
rmap,8.444
rmap,8.538
smalt,3.675
smalt,3.676
smalt,3.675
smalt,3.677
smalt,3.677
smalt,3.676
smalt,3.677
smalt,3.677
smalt,3.678
snap,34.966
snap,36.074
snap,36.774
snap,37.783
snap,35.671
snap,36.464
snap,35.92
snap,35.537
snap,35.628
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
soapsplice,6.005
STAR,27.247
STAR,27.245
STAR,27.254
STAR,27.256
STAR,27.249
STAR,27.251
STAR,27.25
STAR,27.249
STAR,27.248
subread,8.026
subread,8.066
subread,8.154
subread,8.231
subread,8.068
subread,8.159
subread,8.122
subread,8.079
subread,8.083
tophat2,4.035
tophat2,4.058
tophat2,4.04
tophat2,4.009
tophat2,4.04
tophat2,4.001
tophat2,4.001
tophat2,4.04
tophat2,4.04
