"Index","Fixed","Spaced","Chained","Pairwise"
"BWT-FM","Y","N","N","HD"
"Hashing","Y","N","N","HD"
"BWT-FM","N","N","N","HD"
"BWT-FM","Y","N","N","HD"
"BWT-FM","Y","N","N","SW & NW"
"Hashing","Y","N","N","HD"
"BWT-ST","Y","N","N","HD"
"Hashing","N","Y","N","SW"
"BWT-FM","Y","N","Y","NW"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","Y","Non-DP Heuristic"
"BWT-FM","Y","N","N","HD"
"BWT-FM","Y","N","N","SW & NW"
"BWT-FM","N","N","N","SW"
"BWT-FM","N","N","N","SW & NW"
"BWT-FM","Y","N","N","SW"
"BWT-FM","N","N","N","SW"
"BWT-FM","Y","N","N","SW"
"Hashing","Y","N","N","Sparse DP"
"Hashing","Y","N","N","Landau-Vishkin"
"BWT-FM","Y","N","N","SW & Semi-Global"
"Hashing","Y","N","N","Non-DP Heuristic"
"Hashing","Y","N","N","HD"
"Hashing","Y","Y","Y","Semi-Global"
"BWT-FM","N","N","N","Banded Myers Bit Vector"
"Hashing","Y","N","Y","NW"
"Hashing","N","N","Y","NW"
"Hashing","Y","N","N","NW"
"Hashing","Y","Y","N","Semi-global"
"Hashing","Y","N","N","Non-DP Heuristic"
"BWT-FM","Y","N","N","HD"
"Hashing","Y","N","N","Semi-Global"
"Suffix Array","N","N","N","SW"
"Suffix Array","N","N","N","SW"
"Hashing","Y","N","N","NW"
"Hashing","Y","Y","N","SW"
"Suffix Tree","N","N","N","Banded Myers Bit Vector"
"Hashing","Y","N","N","NW"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","Semi-Global"
"Hashing","Y","N","N","HD"
"Hashing","Y","N","N","HD"
"Hashing","Y","N","N","NW"
"Hashing","Y","N","N","SW & NW"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","NW"
"Hashing","Y","Y","Y","HD"
"Hashing","Y","N","N","Banded Myers Bit Vector"
"Hashing","N","N","N","Banded Myers Bit Vector"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","HD"
"Suffix Array","N","N","N","SW"
"Hashing","Y","N","N","NW"
"Hashing","Y","N","N","Non-DP Heuristic"
"Hashing","N","N","Y","SW"
"Hashing","Y","Y","Y","SW"
"Hashing","Y","N","N","Sparse DP"
"Hashing","Y","N","N","Sparse DP"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","NW"
"Hashing","Y","N","N","Non-DP Heuristic"
"BWT-FM","Y","N","N","SW"
"Hashing","Y","N","N","Rabin-Karp Algorithm"
"Hashing","Y","N","N","Banded Myers Bit Vector"
"Hashing","Y","N","N","HD"
"Hashing","Y","N","N","HD"
"Hashing","Y","N","N","NW"
"Suffix Array","Y","N","N","SW"
"Hashing","Y","N","N","NW"
"Hashing","N","N","N","Non-DP Heuristic"
"Hashing","Y","N","N","SW"
"Hashing","Y","Y","N","SW"
"Hashing","Y","N","N","SW"
"Hashing","Y","N","N","NW"
"BWT-FM","Y","N","N","SW & NW"
"BWT-FM","Y","N","N","Non-DP Heuristic"
"BWT-FM","N","N","N","NW"
"Hashing","Y","N","N","SW"
"BWT-FM","Y","N","N","HD"
"BWT-FM","Y","N","N","SW"
"BWT-FM","Y","N","N","HD"
"Hashing","Y","N","N","HD"
"Hashing","Y","N","N",NA
"Hashing","Y","N","N","SW"
"Suffix Array","Y","N","N","SW"
"BWT-FM","Y","N","N","Non-DP Heuristic"
"Hashing","Y","N","N","HD"
"Suffix Array","N","N","N","SW"
"Hashing","Y","Y","N","SW"
"Hashing","N","N","N",NA
"BWT-FM","Y","N","N","HD"
"BWT-FM","Y","N","N","SW & NW"
"Suffix Array","Y","N","Y","SW"
